customer_id,signup_date,country,city,gender,age,membership_tier,tenure_months,avg_session_length,sessions_per_month,support_tickets,last_payment_method,is_mobile_user,num_devices,email_click_rate,referral_count,discount_rate,satisfaction_score,monthly_spend,churn
100000,2025-02-24,malaysia,kuala lumpur,Other,39,standard,8,21.51,21,0,credit card,True,2,0.315,0,0.138,6.9,44.62,0
100001,2021-04-24,philippines,cebu,Male,51,basic,55,19.6,16,1,paypal,False,2,0.224,0,0.0,5.7,54.71,0
100002,2019-05-29,thailand,phuket,Female,29,standard,78,31.98,18,0,credit card,True,5,0.053,0,0.112,6.3,22.4,0
100003,2018-01-01,indonesia,jakarta,Female,43,standard,95,12.71,19,2,credit card,False,3,0.231,1,0.117,7.3,63.13,0
100004,2021-06-16,malaysia,shah alam,Male,51,standard,53,3.0,15,1,unknown,True,3,0.036,0,0.114,5.8,33.28,0
100005,2020-12-14,malaysia,johor bahru,Female,41,basic,59,21.01,18,1,debit card,True,3,0.28,0,0.123,6.5,40.72,0
100006,2022-01-11,malaysia,shah alam,Unknown,44,standard,46,26.96,12,1,debit card,True,1,0.153,0,0.116,5.7,72.88,0
100007,2018-12-04,vietnam,unknown,Male,21,basic,84,17.91,21,0,credit card,True,3,0.104,1,0.086,8.0,43.91,0
100008,2021-02-01,indonesia,medan,Male,27,premium,58,7.31,17,2,unknown,False,3,0.196,1,0.152,6.6,36.22,0
100009,2024-07-20,thailand,bangkok,Unknown,48,standard,15,27.2,15,1,debit card,True,3,0.087,0,0.103,3.0,62.61,0
100010,2020-09-03,malaysia,ipoh,Female,44,basic,63,18.44,16,0,credit card,True,2,0.316,0,0.025,5.1,72.05,0
100011,2020-06-01,brunei,seria,Male,39,standard,66,23.8,16,0,debit card,True,3,0.195,0,0.051,4.4,72.28,0
100012,2024-02-24,vietnam,ho chi minh,Male,33,premium,20,19.64,22,0,credit card,False,2,0.118,1,0.156,8.0,61.29,0
100013,2020-11-03,malaysia,ipoh,Male,38,basic,61,4.32,17,0,bank transfer,True,2,0.547,0,0.037,6.6,57.35,0
100014,2022-08-31,malaysia,kuala lumpur,Female,51,basic,38,24.6,18,2,credit card,False,2,0.294,1,0.031,5.9,48.92,0
100015,2020-05-21,malaysia,shah alam,Male,34,standard,66,26.55,18,0,credit card,True,3,0.236,0,0.106,7.5,65.96,0
100016,2025-02-02,malaysia,penang,Female,41,basic,9,20.44,13,1,credit card,True,1,0.182,1,0.057,5.5,65.15,0
100017,2019-04-02,indonesia,surabaya,Female,41,basic,80,12.98,16,0,credit card,True,4,0.077,0,0.04,7.9,35.96,0
100018,2022-03-30,singapore,yishun,Male,29,standard,44,36.71,13,0,credit card,True,3,0.237,0,0.109,3.8,40.36,0
100019,2025-08-29,malaysia,ipoh,Male,30,standard,2,25.12,19,3,bank transfer,True,5,0.465,0,0.024,3.2,41.17,0
100020,2019-01-01,indonesia,bandung,Female,49,premium,83,11.07,24,2,debit card,True,2,0.243,0,0.164,9.2,102.44,0
100021,2024-09-14,malaysia,kuala lumpur,Male,40,basic,14,40.4,26,0,e-wallet,False,2,0.215,0,0.062,7.4,82.87,0
100022,2025-03-06,malaysia,johor bahru,Male,29,basic,8,17.11,11,1,e-wallet,True,3,0.188,0,0.054,5.6,5.0,0
100023,2024-12-04,malaysia,penang,Female,32,standard,11,32.66,19,1,e-wallet,True,3,0.458,0,0.061,4.7,83.67,0
100024,2023-11-28,singapore,woodlands,Male,26,standard,23,27.24,13,0,credit card,True,2,0.023,0,0.103,7.2,46.7,0
100025,2024-09-19,thailand,phuket,Male,45,standard,13,24.84,13,0,bank transfer,True,5,0.207,0,0.108,3.8,40.31,0
100026,2024-06-14,malaysia,ipoh,Male,33,basic,17,33.12,14,1,credit card,False,4,0.079,0,0.04,5.5,38.82,0
100027,2018-06-09,singapore,tampines,Male,33,basic,90,7.42,19,0,debit card,True,5,0.245,0,0.065,5.6,9.15,1
