customer_id,signup_date,country,city,gender,age,membership_tier,tenure_months,avg_session_length,sessions_per_month,support_tickets,last_payment_method,is_mobile_user,num_devices,email_click_rate,referral_count,discount_rate,satisfaction_score,monthly_spend,churn
100000,2025-02-24,Malaysia,Kuala Lumpur,Other,39.0,Standard,8,21.51,21.0,0,Credit Card,True,2,0.315,0,0.138,6.9,44.62,0
100001,2021-04-24,Philippines,Cebu,Male,51.0,Basic,55,19.6,16.0,1,PayPal,False,2,0.224,0,0.0,5.7,54.71,0
100002,2019-05-29,Thailand,Phuket,Female,29.0,Standard,78,31.98,18.0,0,Credit Card,True,5,0.053,0,0.112,6.3,22.4,0
100003,2018-01-01,Indonesia,Jakarta,Female,43.0,Standard,95,12.71,19.0,2,Credit Card,False,3,0.231,1,0.117,7.3,63.13,0
100004,2021-06-16,Malaysia,Shah Alam,Male,51.0,Standard,53,3.0,15.0,1,,True,3,0.036,0,0.114,5.8,33.28,0
100005,2020-12-14,Malaysia,Johor Bahru,Female,41.0,Basic,59,21.01,,1,Debit Card,True,3,0.28,0,0.123,6.5,40.72,0
100006,2022-01-11,Malaysia,Shah Alam,,44.0,Standard,46,26.96,12.0,1,Debit Card,True,1,0.153,0,0.116,5.7,72.88,0
100007,2018-12-04,Vietnam,,Male,21.0,Basic,84,17.91,21.0,0,Credit Card,True,3,0.104,1,0.086,8.0,43.91,0
100008,2021-02-01,Indonesia,Medan,Male,27.0,Premium,58,7.31,17.0,2,,False,3,0.196,1,0.152,6.6,36.22,0
100009,2024-07-20,Thailand,Bangkok,,48.0,Standard,15,27.2,15.0,1,Debit Card,True,3,0.087,0,0.103,3.0,62.61,0
100010,2020-09-03,Malaysia,Ipoh,Female,44.0,Basic,63,18.44,16.0,0,Credit Card,True,2,0.316,0,0.025,5.1,72.05,0
100011,2020-06-01,Brunei,Seria,Male,39.0,Standard,66,23.8,16.0,0,Debit Card,True,3,0.195,0,0.051,4.4,72.28,0
100012,2024-02-24,Vietnam,Ho Chi Minh,Male,33.0,Premium,20,19.64,22.0,0,Credit Card,False,2,0.118,1,0.156,8.0,61.29,0
100013,2020-11-03,Malaysia,Ipoh,Male,38.0,Basic,61,4.32,17.0,0,Bank Transfer,True,2,0.547,0,0.037,6.6,57.35,0
100014,2022-08-31,Malaysia,Kuala Lumpur,Female,51.0,Basic,38,24.6,18.0,2,Credit Card,False,2,0.294,1,0.031,5.9,48.92,0
100015,2020-05-21,Malaysia,Shah Alam,Male,34.0,Standard,66,26.55,,0,Credit Card,True,3,0.236,0,0.106,7.5,65.96,0
100016,2025-02-02,Malaysia,Penang,female,41.0,Basic,9,20.44,13.0,1,Credit Card,True,1,0.182,1,0.057,5.5,65.15,0
100017,2019-04-02,Indonesia,Surabaya,Female,41,Basic,80,12.98,16.0,0,Credit Card,True,4,0.077,0,0.04,7.9,35.96,0
100018,2022-03-30,Singapore,Yishun,Male,29.0,Standard,44,36.71,13.0,0,Credit Card,True,3,0.237,0,0.109,3.8,40.36,0
100019,2025-08-29,Malaysia,Ipoh,Male,30.0,Standard,2,25.12,19.0,3,Bank Transfer,True,5,0.465,0,0.024,3.2,41.17,0
100020,2019-01-01,Indonesia,Bandung,Female,49.0,Premium,83,11.07,24.0,2,Debit Card,True,2,0.243,0,0.164,9.2,102.44,0
100021,2024-09-14,Malaysia,Kuala Lumpur,Male,40.0,Basic,14,40.4,26.0,0,E-Wallet,False,2,0.215,0,0.062,7.4,82.87,0
100022,2025-03-06,Malaysia,Johor Bahru,Male,29.0,Basic,8,17.11,11.0,1,E-Wallet,True,3,0.188,0,0.054,5.6,5.0,0
100023,2024-12-04,Malaysia,Penang,Female,32.0,Standard,11,32.66,19.0,1,E-Wallet,True,3,0.458,0,0.061,4.7,83.67,0
100024,2023-11-28,Singapore,Woodlands,Male,26.0,Standard,23,27.24,13.0,0,Credit Card,True,2,0.023,0,0.103,7.2,46.7,0
100025,2024-09-19,Thailand,Phuket,Male,45.0,Standard,13,24.84,13.0,0,Bank Transfer,True,5,0.207,0,0.108,3.8,40.31,0
100026,2024-06-14,Malaysia,Ipoh,Male,33.0,Basic,17,33.12,14.0,1,Credit Card,False,4,0.079,0,0.04,5.5,38.82,0
100027,2018-06-09,Singapore,Tampines,Male,33.0,Basic,90,7.42,19.0,0,Debit Card,True,5,0.245,0,0.065,5.6,9.15,1
100028,2020-04-23,Indonesia,Denpasar,Female,43.0,Standard,67,26.58,25.0,1,Bank Transfer,True,5,0.431,1,0.002,4.9,73.17,0
100029,2023-10-04,Malaysia,Ipoh,Female,20.0,Standard,25,19.3,14.0,2,Credit Card,True,3,0.091,1,0.071,4.7,61.49,0
100030,2025-09-09,Indonesia,Denpasar,Female,35.0,Basic,2,41.25,10.0,1,Credit Card,True,5,0.446,1,0.12,3.9,47.33,0
100031,2023-06-23,Malaysia,Kuala Lumpur,Female,35.0,Basic,28,6.56,17.0,1,PayPal,True,7,0.379,1,0.032,5.6,50.35,0
100032,2024-04-22,Malaysia,Ipoh,Male,32.0,Premium,18,24.5,21.0,0,Credit Card,True,5,0.149,0,0.103,6.8,223.1386734785758,0
100033,2025-01-25,Philippines,Quezon City,,30.0,VIP,9,25.06,18.0,1,PayPal,True,4,0.182,0,0.052,5.8,68.33,0
100034,2024-10-05,Brunei,Tutong,Male,29.0,Basic,13,17.2,20.0,0,Credit Card,False,1,0.31,0,0.0,6.0,50.96,0
